Province/State,Country,Last Update,Confirmed,Deaths,Recovered
Anhui,China,2020-01-22 12:00:00,1,0,0
Beijing,China,2020-01-22 12:00:00,14,0,0
Chongqing,China,2020-01-22 12:00:00,6,0,0
Fujian,China,2020-01-22 12:00:00,1,0,0
Gansu,China,2020-01-22 12:00:00,0,0,0
Guangdong,China,2020-01-22 12:00:00,26,0,0
Guangxi,China,2020-01-22 12:00:00,2,0,0
Guizhou,China,2020-01-22 12:00:00,1,0,0
Hainan,China,2020-01-22 12:00:00,4,0,0
Hebei,China,2020-01-22 12:00:00,1,0,0
Heilongjiang,China,2020-01-22 12:00:00,0,0,0
Henan,China,2020-01-22 12:00:00,5,0,0
Hong Kong,China,2020-01-22 12:00:00,0,0,0
Hubei,China,2020-01-22 12:00:00,444,0,0
Hunan,China,2020-01-22 12:00:00,4,0,0
Inner Mongolia,China,2020-01-22 12:00:00,0,0,0
Jiangsu,China,2020-01-22 12:00:00,1,0,0
Jiangxi,China,2020-01-22 12:00:00,2,0,0
Jilin,China,2020-01-22 12:00:00,0,0,0
Liaoning,China,2020-01-22 12:00:00,2,0,0
Macau,China,2020-01-22 12:00:00,1,0,0
Ningxia,China,2020-01-22 12:00:00,1,0,0
Qinghai,China,2020-01-22 12:00:00,0,0,0
Shaanxi,China,2020-01-22 12:00:00,0,0,0
Shandong,China,2020-01-22 12:00:00,2,0,0
Shanghai,China,2020-01-22 12:00:00,9,0,0
Shanxi,China,2020-01-22 12:00:00,1,0,0
Sichuan,China,2020-01-22 12:00:00,5,0,0
Taiwan,China,2020-01-22 12:00:00,1,0,0
Tianjin,China,2020-01-22 12:00:00,4,0,0
Tibet,China,2020-01-22 12:00:00,0,0,0
Washington,US,2020-01-22 12:00:00,1,0,0
Xinjiang,China,2020-01-22 12:00:00,0,0,0
Yunnan,China,2020-01-22 12:00:00,1,0,0
Zhejiang,China,2020-01-22 12:00:00,10,0,0
,Japan,2020-01-22 12:00:00,2,0,0
,Thailand,2020-01-22 12:00:00,2,0,0
,South Korea,2020-01-22 12:00:00,1,0,0
Anhui,Mainland China,2020-01-23 12:00:00,9,0,0
Beijing,Mainland China,2020-01-23 12:00:00,22,0,0
Chongqing,Mainland China,2020-01-23 12:00:00,9,0,0
Fujian,Mainland China,2020-01-23 12:00:00,5,0,0
Gansu,Mainland China,2020-01-23 12:00:00,2,0,0
Guangdong,Mainland China,2020-01-23 12:00:00,32,0,2
Guangxi,Mainland China,2020-01-23 12:00:00,5,0,0
Guizhou,Mainland China,2020-01-23 12:00:00,3,0,0
Hainan,Mainland China,2020-01-23 12:00:00,5,0,0
Hebei,Mainland China,2020-01-23 12:00:00,1,1,0
Heilongjiang,Mainland China,2020-01-23 12:00:00,2,0,0
Henan,Mainland China,2020-01-23 12:00:00,5,0,0
Hong Kong,Hong Kong,2020-01-23 12:00:00,2,0,0
Hubei,Mainland China,2020-01-23 12:00:00,444,17,28
Hunan,Mainland China,2020-01-23 12:00:00,9,0,0
Inner Mongolia,Mainland China,2020-01-23 12:00:00,0,0,0
Jiangsu,Mainland China,2020-01-23 12:00:00,5,0,0
Jiangxi,Mainland China,2020-01-23 12:00:00,7,0,0
Jilin,Mainland China,2020-01-23 12:00:00,1,0,0
Liaoning,Mainland China,2020-01-23 12:00:00,3,0,0
Macau,Macau,2020-01-23 12:00:00,2,0,0
Ningxia,Mainland China,2020-01-23 12:00:00,1,0,0
Qinghai,Mainland China,2020-01-23 12:00:00,0,0,0
Shaanxi,Mainland China,2020-01-23 12:00:00,3,0,0
Shandong,Mainland China,2020-01-23 12:00:00,6,0,0
Shanghai,Mainland China,2020-01-23 12:00:00,16,0,0
Shanxi,Mainland China,2020-01-23 12:00:00,1,0,0
Sichuan,Mainland China,2020-01-23 12:00:00,8,0,0
Taiwan,Taiwan,2020-01-23 12:00:00,1,0,0
Tianjin,Mainland China,2020-01-23 12:00:00,4,0,0
Tibet,Mainland China,2020-01-23 12:00:00,0,0,0
Washington,US,2020-01-23 12:00:00,1,0,0
Xinjiang,Mainland China,2020-01-23 12:00:00,2,0,0
Yunnan,Mainland China,2020-01-23 12:00:00,2,0,0
Zhejiang,Mainland China,2020-01-23 12:00:00,27,0,0
,Japan,2020-01-23 12:00:00,1,0,0
,Thailand,2020-01-23 12:00:00,3,0,0
,South Korea,2020-01-23 12:00:00,1,0,0
,Singapore,2020-01-23 12:00:00,1,0,0
,Philippines,2020-01-23 12:00:00,0,0,0
,Malaysia,2020-01-23 12:00:00,0,0,0
,Vietnam,2020-01-23 12:00:00,2,0,0
,Australia,2020-01-23 12:00:00,0,0,0
,Mexico,2020-01-23 12:00:00,0,0,0
,Brazil,2020-01-23 12:00:00,0,0,0
Hubei,Mainland China,2020-01-24 12:00:00,549,24,31
Guangdong,Mainland China,2020-01-24 12:00:00,53,0,2
Zhejiang,Mainland China,2020-01-24 12:00:00,43,0,1
Beijing,Mainland China,2020-01-24 12:00:00,36,0,1
Chongqing,Mainland China,2020-01-24 12:00:00,27,0,0
Hunan,Mainland China,2020-01-24 12:00:00,24,0,0
Guangxi,Mainland China,2020-01-24 12:00:00,23,0,0
Shanghai,Mainland China,2020-01-24 12:00:00,20,0,1
Jiangxi,Mainland China,2020-01-24 12:00:00,18,0,0
Sichuan,Mainland China,2020-01-24 12:00:00,15,0,0
Shandong,Mainland China,2020-01-24 12:00:00,15,0,0
Anhui,Mainland China,2020-01-24 12:00:00,15,0,0
Fujian,Mainland China,2020-01-24 12:00:00,10,0,0
Henan,Mainland China,2020-01-24 12:00:00,9,0,0
Jiangsu,Mainland China,2020-01-24 12:00:00,9,0,0
Hainan,Mainland China,2020-01-24 12:00:00,8,0,0
Tianjin,Mainland China,2020-01-24 12:00:00,8,0,0
Yunnan,Mainland China,2020-01-24 12:00:00,5,0,0
Shaanxi,Mainland China,2020-01-24 12:00:00,5,0,0
Heilongjiang,Mainland China,2020-01-24 12:00:00,4,1,0
Liaoning,Mainland China,2020-01-24 12:00:00,4,0,0
Guizhou,Mainland China,2020-01-24 12:00:00,3,0,0
Jilin,Mainland China,2020-01-24 12:00:00,3,0,0
Taiwan,Taiwan,2020-01-24 12:00:00,3,0,0
Ningxia,Mainland China,2020-01-24 12:00:00,2,0,0
Hong Kong,Hong Kong,2020-01-24 12:00:00,2,0,0
Macau,Macau,2020-01-24 12:00:00,2,0,0
Hebei,Mainland China,2020-01-24 12:00:00,2,1,0
Gansu,Mainland China,2020-01-24 12:00:00,2,0,0
Xinjiang,Mainland China,2020-01-24 12:00:00,2,0,0
Shanxi,Mainland China,2020-01-24 12:00:00,1,0,0
Inner Mongolia,Mainland China,2020-01-24 12:00:00,1,0,0
Qinghai,Mainland China,2020-01-24 12:00:00,0,0,0
Washington,US,2020-01-24 12:00:00,1,0,0
Chicago,US,2020-01-24 12:00:00,1,0,0
,Japan,2020-01-24 12:00:00,2,0,0
,Thailand,2020-01-24 12:00:00,5,0,0
,South Korea,2020-01-24 12:00:00,2,0,0
,Singapore,2020-01-24 12:00:00,3,0,0
,Vietnam,2020-01-24 12:00:00,2,0,0
,France,2020-01-24 16:00:00,2,0,0
Hubei,Mainland China,2020-01-25 22:00:00,1052,52,42
Zhejiang,Mainland China,2020-01-25 22:00:00,104,0,1
Guangdong,Mainland China,2020-01-25 12:00:00,98,0,2
Henan,Mainland China,2020-01-25 12:00:00,83,1,0
Chongqing,Mainland China,2020-01-25 12:00:00,75,0,0
Hunan,Mainland China,2020-01-25 12:00:00,69,0,0
Anhui,Mainland China,2020-01-25 12:00:00,60,0,0
Beijing,Mainland China,2020-01-25 12:00:00,51,0,2
Sichuan,Mainland China,2020-01-25 12:00:00,44,0,0
Shanghai,Mainland China,2020-01-25 12:00:00,40,1,1
Shandong,Mainland China,2020-01-25 12:00:00,39,0,0
Jiangxi,Mainland China,2020-01-25 12:00:00,36,0,0
Guangxi,Mainland China,2020-01-25 12:00:00,33,0,0
Jiangsu,Mainland China,2020-01-25 12:00:00,31,0,1
Hainan,Mainland China,2020-01-25 12:00:00,19,0,0
Liaoning,Mainland China,2020-01-25 12:00:00,19,0,0
Fujian,Mainland China,2020-01-25 12:00:00,18,1,0
Heilongjiang,Mainland China,2020-01-25 12:00:00,15,0,0
Shaanxi,Mainland China,2020-01-25 12:00:00,15,0,0
Tianjin,Mainland China,2020-01-25 12:00:00,13,0,0
Hebei,Mainland China,2020-01-25 12:00:00,13,1,0
Yunnan,Mainland China,2020-01-25 12:00:00,11,0,0
Shanxi,Mainland China,2020-01-25 12:00:00,9,0,0
Inner Mongolia,Mainland China,2020-01-25 12:00:00,7,0,0
Gansu,Mainland China,2020-01-25 12:00:00,7,0,0
Guizhou,Mainland China,2020-01-25 12:00:00,5,0,0
Hong Kong,Hong Kong,2020-01-25 12:00:00,5,0,0
Ningxia,Mainland China,2020-01-25 12:00:00,4,0,0
Jilin,Mainland China,2020-01-25 12:00:00,4,0,0
Xinjiang,Mainland China,2020-01-25 12:00:00,4,0,0
Taiwan,Taiwan,2020-01-25 12:00:00,3,0,0
Macau,Macau,2020-01-25 12:00:00,2,0,0
Qinghai,Mainland China,2020-01-25 12:00:00,1,0,0
Washington,US,2020-01-25 12:00:00,1,0,0
Illinois,US,2020-01-25 12:00:00,1,0,0
,Japan,2020-01-25 12:00:00,2,0,0
,Thailand,2020-01-25 12:00:00,7,0,0
,South Korea,2020-01-25 12:00:00,3,0,0
,Singapore,2020-01-25 12:00:00,3,0,0
,Vietnam,2020-01-25 12:00:00,2,0,0
,France,2020-01-25 12:00:00,3,0,0
,Australia,2020-01-25 12:00:00,4,0,0
,Nepal,2020-01-25 12:00:00,1,0,0
,Malaysia,2020-01-25 12:00:00,3,0,0
Hubei,Mainland China,2020-01-26 23:00:00,1423,76,44
Guangdong,Mainland China,2020-01-26 23:00:00,146,0,2
Zhejiang,Mainland China,2020-01-26 23:00:00,128,0,1
Henan,Mainland China,2020-01-26 23:00:00,128,1,0
Chongqing,Mainland China,2020-01-26 23:00:00,110,0,0
Hunan,Mainland China,2020-01-26 23:00:00,100,0,0
Anhui,Mainland China,2020-01-26 23:00:00,70,0,0
Sichuan,Mainland China,2020-01-26 23:00:00,69,0,0
Beijing,Mainland China,2020-01-26 23:00:00,68,0,2
Shandong,Mainland China,2020-01-26 23:00:00,63,0,0
Shanghai,Mainland China,2020-01-26 23:00:00,53,1,1
Jiangxi,Mainland China,2020-01-26 23:00:00,48,0,0
